step,epoch,avg_train_loss,avg_val_loss,val_dice_score
649,1,0.16532840027555662,0.1705380016390015,0.8683255257851937
1298,2,0.16989346344500367,0.17060329414465847,0.8683255257851937
1947,3,0.16995746512626095,0.1705435183556641,0.8683255257851937
2596,4,0.16993607964096893,0.17057590953567447,0.8683255257851937
3245,5,0.1620677646898158,0.15468101795105374,0.7963232213959974
3894,6,0.15517556189755996,0.17004879848922,0.8683255257851937
4543,7,0.15287798290673316,0.16868623526876464,0.7557101017412018
5192,8,0.15449069482841182,0.15644597453886971,0.875692577484776
5841,9,0.1463919330175926,0.14313750237445622,0.8711319762994262
6490,10,0.14120351128245723,0.14021361690452872,0.8797740686465713
7139,11,0.13989622350236852,0.1422680010471274,0.8966989946715972
7788,12,0.13993154109121286,0.136944684857393,0.8945552474435639
8437,13,0.13867062445046904,0.13932950597475557,0.8854355579789948
9086,14,0.13992877753425637,0.141704243279117,0.8850700522170347
9735,15,0.145316744461449,0.14599480474477305,0.8701218182549757
