step,epoch,avg_train_loss,avg_val_loss,val_dice_score
649,1,0.20999564205185842,0.21328124776482582,0.8156041533631437
1298,2,0.21295179837657416,0.21326861333321123,0.8156041533631437
1947,3,0.21303930212793806,0.21327170444762006,0.8156041533631437
2596,4,0.21297828171212793,0.2132795722607304,0.8156041533631437
3245,5,0.21287030594650144,0.21328075865612312,0.8156041533631437
3894,6,0.2129542379423356,0.21328134725199027,0.8156041533631437
4543,7,0.21293107060879146,0.21327895178076098,0.8156041533631437
5192,8,0.2128751449436179,0.2132886790615671,0.8156041533631437
5841,9,0.21287514191287324,0.21328211214174242,0.8156041533631437
6490,10,0.21290760892565336,0.2132812621181502,0.8156041533631437
7139,11,0.2130208329766851,0.21328163431847796,0.8156041533631437
7788,12,0.21284711360931396,0.21326645814320622,0.8156041533631437
8437,13,0.21296587772380407,0.21328582691357417,0.8156041533631437
9086,14,0.21292111633463157,0.21327660955926953,0.8156041533631437
9735,15,0.21294536566697578,0.21327338926494122,0.8156041533631437
